datetime,balance,equity,drawdown_percent
2025-03-25 08:38:02.964400,312.20,312.20,0.00
2025-03-25 08:39:03.407095,312.20,310.88,0.42
2025-03-25 08:40:03.422817,312.20,311.69,0.16
2025-03-25 08:41:03.446553,312.20,310.09,0.68
2025-03-25 08:42:03.469193,312.20,317.59,-1.73
2025-03-25 08:43:03.487866,312.20,315.09,-0.93
2025-03-25 08:44:03.505895,312.20,299.40,4.10
2025-03-25 08:45:03.523281,312.20,294.61,5.63
2025-03-25 08:46:03.549185,312.20,299.70,4.00
2025-03-25 08:47:03.566947,312.20,300.92,3.61
2025-03-25 08:48:03.581642,312.20,304.70,2.40
2025-03-25 08:49:03.599756,312.20,300.95,3.60
2025-03-25 08:50:03.614573,312.20,290.88,6.83
2025-03-25 08:51:03.631426,289.75,292.69,6.25
2025-03-25 08:52:03.905278,289.75,296.31,5.09
2025-03-25 08:53:03.919396,289.75,302.87,2.99
2025-03-25 08:54:03.935694,289.75,309.52,0.86
2025-03-25 08:55:03.953697,289.75,302.32,3.16
2025-03-25 08:56:03.974985,289.75,304.49,2.47
2025-03-25 08:57:04.011384,289.75,308.74,1.11
2025-03-25 08:58:04.036200,289.75,314.30,-0.67
2025-03-25 08:59:04.064616,289.75,311.79,0.13
2025-03-25 09:00:04.076252,289.75,312.46,-0.08
2025-03-25 09:01:04.093452,289.75,310.46,0.56
2025-03-25 09:02:04.113331,289.75,309.11,0.99
2025-03-25 09:03:04.130136,289.75,309.71,0.80
2025-03-25 09:04:04.145044,289.75,319.85,-2.45
2025-03-25 09:05:04.158392,289.75,337.01,-7.95
2025-03-25 09:06:04.174161,289.75,346.46,-10.97
2025-03-25 09:07:04.187666,289.75,344.38,-10.31
2025-03-25 09:08:04.203775,289.75,337.53,-8.11
2025-03-25 09:09:04.222814,289.75,328.43,-5.20
2025-03-25 09:10:04.237201,289.75,329.73,-5.61
2025-03-25 09:11:04.252927,289.75,331.71,-6.25
2025-03-25 09:12:04.266679,289.75,323.96,-3.77
2025-03-25 09:13:04.281506,289.75,324.19,-3.84
2025-03-25 09:14:04.300791,289.75,325.31,-4.20
2025-03-25 09:15:04.314411,289.75,329.55,-5.56
2025-03-25 09:16:04.345816,289.75,342.83,-9.81
2025-03-25 09:17:04.374086,289.75,340.49,-9.06
2025-03-25 09:18:04.408230,289.75,324.17,-3.83
2025-03-25 09:19:04.424432,289.75,316.43,-1.35
2025-03-25 09:20:04.440461,289.75,320.56,-2.68
2025-03-25 09:21:04.459177,289.75,319.00,-2.18
2025-03-25 09:22:04.474615,289.75,317.71,-1.76
2025-03-25 09:23:04.493831,289.75,316.59,-1.41
2025-03-25 09:24:04.527340,289.75,312.28,-0.03
2025-03-25 09:25:04.541868,289.75,310.65,0.50
2025-03-25 09:26:04.556200,289.75,316.75,-1.46
2025-03-25 09:27:04.573034,289.75,314.60,-0.77
2025-03-25 09:28:04.597024,289.75,304.49,2.47
2025-03-25 09:29:04.619661,289.75,312.60,-0.13
2025-03-25 09:30:04.639038,289.75,309.59,0.84
2025-03-25 09:31:04.674962,289.75,320.27,-2.58
2025-03-25 09:32:04.691420,289.75,317.94,-1.84
2025-03-25 09:33:04.708278,289.75,313.59,-0.45
2025-03-25 09:34:04.732188,289.75,322.21,-3.21
2025-03-25 09:35:04.750042,289.75,316.46,-1.36
2025-03-25 09:36:04.781148,289.75,319.99,-2.50
2025-03-25 09:37:04.801377,289.75,323.16,-3.51
2025-03-25 09:38:04.817102,289.75,320.40,-2.63
2025-03-25 09:39:04.840099,289.75,329.59,-5.57
2025-03-25 09:40:04.858915,289.75,336.20,-7.69
2025-03-25 09:41:04.898499,289.75,340.10,-8.94
2025-03-25 09:42:04.935136,335.63,345.55,-10.68
2025-03-25 09:43:05.220359,335.63,345.12,-10.54
2025-03-25 09:44:05.234609,335.63,344.56,-10.37
2025-03-25 09:45:05.251435,335.63,347.26,-11.23
2025-03-25 09:46:05.268197,335.63,340.66,-9.12
2025-03-25 09:47:05.285476,335.63,340.65,-9.11
2025-03-25 09:48:05.299721,335.63,336.62,-7.82
2025-03-25 09:49:05.313724,335.63,339.02,-8.59
2025-03-25 09:50:05.329088,335.63,330.44,-5.84
2025-03-25 09:51:05.342332,335.63,326.98,-4.73
2025-03-25 09:52:05.360205,335.63,324.74,-4.02
2025-03-25 09:53:05.377507,335.63,325.93,-4.40
2025-03-25 09:54:05.393018,335.63,320.62,-2.70
2025-03-25 09:55:05.408502,335.63,326.22,-4.49
2025-03-25 09:56:05.428970,335.63,326.82,-4.68
